;CO_TAZID,Index,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,SEC_HOME,CABIN,CONDO,HOTEL,AVGINCOME,Enrol_Elem
3018,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3019,19,5.9,26.7,4.51,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,64145,0
3020,20,0,0,0,514.6,2.2,505,7.4,515.1,1.2,0.9,436.3,68.7,0.7,1.8,1.3,3.8,0,0,0.5,0,0,0,0,0,64145,0
3021,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3022,22,0,0,0,63.3,0,63.3,0,63.3,0,0,63.3,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3023,23,4,13,3.24,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,64145,0
3024,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3025,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3026,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3027,27,3.9,12.7,3.24,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,64145,0
3028,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3029,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3030,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3031,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3032,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3033,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3034,34,41.1,124.6,3.03,2.3,0,0,2.3,4.8,0,0,0,0,0,0,0,2.3,0,0,0,2.5,0,0,0,0,64145,0
3035,35,8.9,29.5,3.32,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,64145,0
3036,36,15.8,33.1,2.09,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,64145,0
3037,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3038,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3039,39,12.8,46.1,3.61,0,0,0,0,16.2,0,0,0,0,0,0,0,0,15.4,0,0,0.8,0,0,0,0,64145,0
3040,40,31.4,102.6,3.27,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,87119,0
3041,41,9.8,19.3,1.96,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,87119,0
3042,42,47.5,160.5,3.38,0,0,0,0,31.2,0,0,0,0,0,0,0,0,0,0,28,3.2,0,0,0,0,87119,0
3043,43,17.7,49.6,2.81,0,0,0,0,39.5,0,0,0,0,0,0,0,0,38.4,0,0,1.1,0,0,0,0,87119,0
3044,44,1.1,5.3,5.02,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,87119,0
3045,45,1.1,5.3,5.02,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,87119,0
3046,46,2.1,6.2,2.98,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,87119,0
3047,47,174.9,568.6,3.25,61.9,1.6,19.8,40.6,84,0.9,0.7,2.9,16.9,0.5,36.5,0.9,2.7,0,0,11.5,10.6,0,0,0,0,87119,450
3048,48,24.5,90.2,3.67,18.8,0.6,1.7,16.4,62.5,0.4,0.3,1.1,0.6,0.2,0.5,0.4,15.4,42.2,0,0,1.5,0,0,0,0,87119,0
3049,49,24.5,68.1,2.78,4.7,0,0,4.7,6.2,0,0,0,0,0,0,0,4.7,0,0,0,1.5,0,0,0,0,87119,0
3050,50,13.9,80.7,5.82,2,0,0,2,2.8,0,0,0,0,2,0,0,0,0,0,0,0.8,0,0,0,0,87119,0
3051,51,10.8,20.2,1.87,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,87119,0
3052,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87119,0
3053,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87119,0
3054,54,53.9,167.7,3.11,1.1,0,1.1,0,4.3,0,0,0,1.1,0,0,0,0,0,0,0,3.2,0,0,0,0,87119,0
3055,55,42.1,144.5,3.43,18.3,0,0,18.3,20.8,0,0,0,0,2.2,8.6,0,7.6,0,0,0,2.5,0,0,0,0,64145,0
3056,56,30.4,112.7,3.71,12.7,0.6,9.8,2.2,33.7,0.4,0.3,1.2,8.6,0.2,0.5,0.4,1.1,19.2,0,0,1.8,0,0,0,0,87119,0
3057,57,12.8,28.1,2.2,8.8,0,8.8,0,9.6,0,0,0,8.8,0,0,0,0,0,0,0,0.8,0,0,0,0,87119,0
3058,58,4,23,5.79,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,87119,0
3059,59,11.7,33,2.81,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,87119,0
3060,60,18.9,68.6,3.63,9.6,0.2,7.6,1.9,11.3,0.1,0.1,0.3,7.2,0.1,1.4,0.1,0.3,0,0,0.5,1.1,0,0,0,0,87119,0
3061,61,83.4,285.7,3.43,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,87119,0
3062,62,35.3,113.4,3.21,15.6,15,0.3,0.3,17.7,15,0,0.2,0.1,0,0.1,0.1,0.2,0,0,0,2.1,0,0,0,0,87119,0
3063,63,2,6.1,2.98,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,87119,0
3064,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3065,65,18.6,43.6,2.34,5.5,0.4,1.2,3.9,6.6,0.2,0.2,0.8,0.4,0.1,0.3,0.2,3.2,0,0,0,1.1,0,0,0,0,77876,0
3066,66,17.7,45.7,2.58,30.2,30.2,0,0,31.3,30.2,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,77876,0
3067,67,36.3,105.3,2.9,63.3,0,0,63.3,65.5,0,0,0,0,0,0,0,63.3,0,0,0,2.2,0,0,0,0,77876,0
3068,68,25.5,77.4,3.04,8.1,8.1,0,0,15.2,0,8.1,0,0,0,0,0,0,0,0,5.5,1.6,0,0,0,0,77876,0
3069,69,15.8,72.2,4.58,3.2,0.1,2.6,0.5,4.2,0.1,0.1,0.2,2.4,0,0.1,0.1,0.2,0,0,0,1,0,0,0,0,66905,0
3070,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3071,71,2.1,4,1.96,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,77876,0
3072,72,2.1,9.6,4.51,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,77876,0
3073,73,17.7,37.8,2.13,9.2,0,1.1,8.1,10.3,0,0,0,1.1,8,0,0,0,0,0,0,1.1,0,0,0,0,77876,0
3074,74,50.1,153.3,3.06,4.9,0.1,2.5,2.3,7.9,0.1,0,0.2,2.4,2,0.1,0.1,0.2,0,0,0,3,0,0,0,0,77876,0
3075,75,21.6,87.6,4.05,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,77876,0
3076,76,36.5,119.8,3.28,4.8,0,4.8,0,7.5,0,0,3.6,1.2,0,0,0,0,0,0,0.5,2.2,0,0,0,0,77876,0
3077,77,11.8,34.1,2.9,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,77876,0
3078,78,48.3,167.2,3.46,51.8,0.9,43.9,6.9,55.2,0.5,0.4,43.1,0.9,2.3,0.8,0.5,3.3,0,0,0.5,2.9,0,0,0,0,67271,0
3079,79,76.5,219.9,2.87,66.3,0.5,10,55.8,94.9,0.3,0.2,0.9,9.1,11.5,43.2,0.3,0.9,0,0,23.6,4.9,0,0,0,0,61866,0
3080,80,128.5,334.7,2.61,43.6,0.7,2,40.9,79.6,0.4,0.3,1.3,0.7,0.2,38.9,0.4,1.3,0,0,28,8,0,0,0,0,61866,0
